timestamp,cpu_usage,memory_usage,network_bytes_sent,network_bytes_recv,server_status
1727037390.7425232,15.7,51.4,532722695,23120455325,UP
1727037392.745393,3.5,51.0,532788847,23120522927,UP
1727037394.7475445,6.5,51.3,532880967,23120615734,UP
1727037396.751681,6.5,51.4,532963640,23120684651,UP
1727037398.7555518,4.5,51.4,533053823,23120788206,UP
1727037400.7587965,13.2,51.5,533161171,23120883570,UP
1727037402.7628179,1.5,51.5,533247360,23120956724,UP
1727037404.7667751,12.4,51.2,533335973,23121041367,UP
1727037406.7688732,5.0,51.3,533398947,23121104923,UP
1727037408.7714777,1.0,51.3,533513018,23121218261,UP
1727037410.7742755,17.6,51.4,533614688,23121312989,UP
1727037412.7764468,1.5,51.4,533683867,23121383062,UP
1727037414.7802932,1.5,51.4,533764084,23121449082,UP
1727037416.7837565,5.9,51.5,533826087,23121512353,UP
1727037418.7862444,1.5,51.5,537138189,23121656177,UP
1727037420.7884774,27.8,51.6,537340856,23121866579,UP
1727037422.7929113,7.6,51.6,537542909,23122052708,UP
1727037424.7954786,0.5,51.6,537695200,23122174299,UP
1727037426.7993577,9.5,51.6,537845106,23122286841,UP
1727037428.8022294,2.5,51.6,538017235,23122428733,UP
1727037430.8045135,15.2,51.3,538161669,23122549863,UP
1727068398.2356977,7.1,26.4,79881008,22380683337,UP
1727068400.2421281,16.7,26.4,79920985,22380719912,UP
1727068402.2462044,2.0,26.4,79957229,22380753905,UP
1727068404.2503226,3.5,26.4,79992567,22380774950,UP
1727068406.2543137,6.9,26.3,80023202,22380806017,UP
1727068408.2581966,2.0,26.4,80041739,22380825156,UP
1727068410.261962,9.1,26.4,80089005,22380855264,UP
1727068412.2654357,2.0,26.5,80109450,22380877669,UP
1727068414.269445,9.1,26.5,80130475,22380898722,UP
1727068416.2729955,7.1,26.5,80177915,22380931419,UP
1727068418.277577,2.0,26.5,80196190,22380950704,UP
1727068420.2813284,10.1,26.4,80225309,22380978093,UP
1727068422.285262,7.9,26.4,80266135,22381008282,UP
1727068424.289348,7.8,26.4,80391148,22381110241,UP
1727068426.2933753,2.0,26.4,80440055,22381155568,UP
1727068428.2973614,1.0,26.5,80479071,22381182725,UP
1727068430.3014326,10.9,26.6,80506602,22381205988,UP
1727068432.3054278,4.5,26.6,80526211,22381227299,UP
1727068434.3091488,4.5,26.6,80561638,22381248421,UP
1727068436.3131733,1.5,26.1,80585444,22381269033,UP
1727068438.3172023,9.0,26.3,80614243,22381307344,UP
1727068440.3220198,11.1,26.1,80658969,22381335421,UP
1727068442.3261409,3.0,26.1,80681229,22381364657,UP
1727068444.330104,5.5,26.4,80702163,22381386662,UP
1727068446.3333552,2.0,26.4,80738042,22381425385,UP
1727068448.3374133,4.5,26.5,80773443,22381445329,UP
1727068450.341043,9.6,26.4,80803679,22381474435,UP
1727068452.3451924,8.5,26.4,80959883,22381593323,UP
1727068454.3494983,15.3,26.4,81263179,22381828888,UP
