timestamp,packets_sent,bytes_sent,elapsed_time,packet_rate,bandwidth,cpu_usage,memory_usage,network_bytes_sent,network_bytes_recv,network_packets_sent,network_packets_recv,attack_intensity,src_ip,dest_ip
2024-09-22 18:51:34.986088,0,0,113.14714622497559,0.0,0.0,4.7,22.4,65359859,22671846079,318818,16247530,2.0,,192.168.1.100
2024-09-22 18:51:36.046129,0,0,114.20718693733215,0.0,0.0,3.8,22.4,65360847,22671847206,318826,16247537,2.0,,192.168.1.100
2024-09-22 18:51:37.106213,0,0,115.26727080345154,0.0,0.0,7.5,22.4,65362000,22671847980,318833,16247543,2.0,,192.168.1.100
2024-09-22 18:51:38.167530,0,0,116.32858848571777,0.0,0.0,6.7,22.4,65362688,22671848505,318836,16247545,2.0,,192.168.1.100
2024-09-22 18:51:39.228703,0,0,117.38976097106934,0.0,0.0,12.2,22.0,65382479,22671853461,318866,16247569,2.0,,192.168.1.100
2024-09-22 18:51:40.290293,0,0,118.45135164260864,0.0,0.0,11.4,22.5,65383167,22671854040,318869,16247572,2.0,,192.168.1.100
2024-09-22 18:51:41.360500,0,0,119.52155780792236,0.0,0.0,6.5,22.5,65383855,22671854565,318872,16247574,2.0,,192.168.1.100
2024-09-22 18:51:42.421372,0,0,120.58243012428284,0.0,0.0,6.6,22.5,65385374,22671855963,318885,16247585,2.0,,192.168.1.100
2024-09-22 18:51:43.500289,0,0,121.66134738922119,0.0,0.0,8.8,22.5,65386062,22671856488,318888,16247587,2.0,,192.168.1.100
2024-09-22 18:51:44.562065,0,0,122.72312331199646,0.0,0.0,12.2,22.5,65406381,22671861801,318919,16247611,2.0,,192.168.1.100
2024-09-22 18:51:45.623510,0,0,123.78456783294678,0.0,0.0,3.3,22.5,65407069,22671862326,318922,16247613,2.0,,192.168.1.100
2024-09-22 18:51:46.684974,0,0,124.84603190422058,0.0,0.0,4.7,22.5,65407757,22671862851,318925,16247615,2.0,,192.168.1.100
2024-09-22 18:51:47.747257,0,0,125.9083149433136,0.0,0.0,11.0,22.5,65409483,22671863802,318936,16247623,2.0,,192.168.1.100
2024-09-22 18:51:48.809883,0,0,126.97094106674194,0.0,0.0,8.0,22.5,65411038,22671865268,318949,16247634,2.0,,192.168.1.100
2024-09-22 18:51:49.870916,0,0,128.03197407722473,0.0,0.0,10.4,22.5,65411726,22671865793,318952,16247636,2.0,,192.168.1.100
2024-09-22 18:51:50.932516,0,0,129.09357452392578,0.0,0.0,14.3,22.5,65442380,22671871483,318987,16247663,2.0,,192.168.1.100
2024-09-22 18:51:51.996282,0,0,130.1573405265808,0.0,0.0,5.2,22.5,65443533,22671872191,318994,16247668,2.0,,192.168.1.100
2024-09-22 18:51:53.062862,0,0,131.2239203453064,0.0,0.0,10.7,22.5,65444404,22671873061,319000,16247673,2.0,,192.168.1.100
2024-09-22 18:51:54.124025,0,0,132.28508305549622,0.0,0.0,3.8,22.5,65447443,22671875407,319020,16247689,2.0,,192.168.1.100
2024-09-22 18:51:55.185106,0,0,133.34616446495056,0.0,0.0,8.5,22.1,65448131,22671875932,319023,16247691,2.0,,192.168.1.100
2024-09-22 18:51:56.259083,0,0,134.42014145851135,0.0,0.0,8.0,22.1,65449185,22671877147,319032,16247699,2.0,,192.168.1.100
2024-09-22 18:51:57.325575,0,0,135.48663306236267,0.0,0.0,7.1,22.1,65468816,22671881881,319060,16247720,2.0,,192.168.1.100
2024-09-22 18:51:58.388317,0,0,136.54937553405762,0.0,0.0,8.5,22.1,65469504,22671882406,319063,16247722,2.0,,192.168.1.100
2024-09-22 18:51:59.450981,0,0,137.6120388507843,0.0,0.0,4.7,22.2,65470657,22671883114,319070,16247727,2.0,,192.168.1.100
2024-09-22 18:52:00.513458,0,0,138.6745162010193,0.0,0.0,14.8,22.5,65471645,22671884241,319078,16247734,2.0,,192.168.1.100
2024-09-22 18:52:01.578146,0,0,139.73920464515686,0.0,0.0,8.8,22.6,65473021,22671885291,319084,16247738,2.0,,192.168.1.100
2024-09-22 18:52:02.644026,0,0,140.80508375167847,0.0,0.0,7.0,22.6,65492652,22671890025,319112,16247759,2.0,,192.168.1.100
2024-09-22 18:52:03.737580,0,0,141.89863801002502,0.0,0.0,10.2,22.6,65493805,22671890733,319119,16247764,2.0,,192.168.1.100
2024-09-22 18:52:04.799944,0,0,142.9610025882721,0.0,0.0,5.6,22.6,65494493,22671891258,319122,16247766,2.0,,192.168.1.100
2024-09-22 18:52:05.862636,0,0,144.02369379997253,0.0,0.0,5.7,22.8,65498385,22671898727,319154,16247792,2.0,,192.168.1.100
2024-09-22 18:52:06.942018,0,0,145.10307574272156,0.0,0.0,10.6,22.8,65499538,22671899435,319161,16247797,2.0,,192.168.1.100
2024-09-22 18:52:08.018550,0,0,146.17960810661316,0.0,0.0,9.9,22.8,65500226,22671899960,319164,16247799,2.0,,192.168.1.100
2024-09-22 18:52:09.082321,0,0,147.2433795928955,0.0,0.0,4.7,22.8,65519857,22671904694,319192,16247820,2.0,,192.168.1.100
2024-09-22 18:52:10.150906,0,0,148.31196403503418,0.0,0.0,5.1,22.8,65520639,22671905285,319196,16247823,2.0,,192.168.1.100
2024-09-22 18:52:11.212873,0,0,149.3739311695099,0.0,0.0,16.4,22.6,65521327,22671905810,319199,16247825,2.0,,192.168.1.100
2024-09-22 18:52:12.275835,0,0,150.43689346313477,0.0,0.0,9.0,22.6,65522846,22671907436,319212,16247840,2.0,,192.168.1.100
2024-09-22 18:52:13.340926,0,0,151.50198459625244,0.0,0.0,9.0,22.6,65523534,22671908015,319215,16247843,2.0,,192.168.1.100
2024-09-22 18:52:14.404180,0,0,152.56523847579956,0.0,0.0,4.2,22.6,65543880,22671913291,319248,16247870,2.0,,192.168.1.100
2024-09-22 18:52:15.468611,0,0,153.62966871261597,0.0,0.0,4.7,22.6,65544568,22671913816,319251,16247872,2.0,,192.168.1.100
2024-09-22 18:52:16.531893,0,0,154.69295167922974,0.0,0.0,6.0,22.6,65545256,22671914395,319254,16247875,2.0,,192.168.1.100
2024-09-22 18:52:17.610127,0,0,155.77118492126465,0.0,0.0,12.6,22.1,65546409,22671915169,319261,16247881,2.0,,192.168.1.100
2024-09-22 18:52:18.680785,0,0,156.8418436050415,0.0,0.0,8.9,22.1,65549225,22671917535,319281,16247899,2.0,,192.168.1.100
2024-09-22 18:52:19.745000,0,0,157.90605783462524,0.0,0.0,5.2,22.1,65549913,22671918060,319284,16247901,2.0,,192.168.1.100
2024-09-22 18:52:20.809736,0,0,158.97079372406006,0.0,0.0,11.1,22.5,65569079,22671922611,319308,16247919,2.0,,192.168.1.100
2024-09-22 18:52:21.874008,0,0,160.03506636619568,0.0,0.0,6.5,22.0,65570971,22671924054,319322,16247932,2.0,,192.168.1.100
2024-09-22 18:52:22.945563,0,0,161.10662150382996,0.0,0.0,14.4,22.2,65572232,22671924888,319329,16247938,2.0,,192.168.1.100
